amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended	buyer-identification-number	buyer-identification-type 
702-5052391-4101017		2026-03-11T16:54:22+00:00	2026-03-11T16:54:34+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Café Instantáneo Trung Nguyen G7-3 en 1 con Tecnología NANO+, Mezcla de Café Tostado Molido, Crema No Láctea y Azúcar (100 Sobres)	SKU-JJ-B08D9NWR5K	B08D9NWR5K	Unshipped	1	MXN	954.17								CHAPALA	JALISCO	45900	MX		false			false		
701-5852591-8844252		2026-03-11T16:39:33+00:00	2026-03-11T16:43:47+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Pei Pa Koa - 10 Fl. Oz. ( 3 Pack)	may-045714	B002S56K40	Unshipped	1	MXN	1691.43	233.3							CIUDAD DE MEXICO	CIUDAD DE MEXICO	11540	MX		false			false		
701-8340703-5950645		2026-03-11T16:37:58+00:00	2026-03-11T16:40:35+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Primal Kitchen Mostaza Orgánica Spicy Brown 12 oz - 340 gr	CondimentsSaladDressing0325-0733	B07DQB5BCD	Unshipped	1	MXN	444.09								SAN PEDRO GARZA GARCIA	NUEVO LEON	66278	MX		false			false		
702-6725723-7945809		2026-03-11T16:29:34+00:00	2026-03-11T17:00:01+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Earth Friendly Products ECOS 2 Detergente líquido para lavandería con suavizante incorporado, 100 cargas, Lavanda, 100 Fl Oz (Pack of 2)	IS12-12730	B075LFS2C3	Unshipped	1	MXN	1260.36	173.84							SAN PEDRO GARZA GARCIA	NUEVO LEON	66250	MX		false			false		
701-2746410-3399428		2026-03-11T16:28:23+00:00	2026-03-11T16:57:59+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	C60 Purple Power Aceite de oliva orgánico extra virgen, aceite de oliva orgánico prensado en frío, 99.99% puro c60 Carbon Fullerenes, levanta la carga oxidativa a nivel celular, optimiza la función mitocondrial	may-023677	B09QD3HWHF	Unshipped	1	MXN	4592.73								QUERETARO	QUERETARO	76230	MX		false			false		
701-2945713-6013051		2026-03-11T16:14:27+00:00	2026-03-11T16:58:53+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	DAVID Roasted and Salted Ranch Sunflower Seeds, 1.625 oz, 12 Pack	cartus3-445	B0081Q1NL0	Unshipped	1	MXN	587.78								LOS MOCHIS	SINALOA	81248	MX		false			false		
702-2995150-4353021		2026-03-11T16:12:03+00:00	2026-03-11T16:41:12+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Protector de madres, 1 galón. - Protección UV de larga duración para hule, vinilo y plástico, protege salpicaduras, molduras, parachoques y neumáticos de la decoloración, agrietamiento y secado	071025-B002ZLQLV4	B002ZLQLV4	Unshipped	1	MXN	2691.61	371.26							SAN LUIS POTOSI	SAN LUIS POTOSI	78395	MX		false			false		
701-7964468-5082659		2026-03-11T16:09:53+00:00	2026-03-11T16:41:59+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	The Ginger People Disparos de rescate	SBAS-096	B07BQ2DJ9Q	Unshipped	1	MXN	1287.0	177.52							ALVARADO	VERACRUZ DE IGNACIO DE LA LLAVE	95264	MX		false			false		
701-2844981-1155430		2026-03-11T16:02:26+00:00	2026-03-11T16:32:29+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Servicio de iglesia vigilia por Memorial sin perfume blanco 1/5,08 cm x 10,8 cm velas - 100/de caja	LXRYBS072225-B00A7FNV6I	B00A7FNV6I	Unshipped	1	MXN	1244.35	171.63							CIUDAD DE MEXICO	CIUDAD DE MEXICO	01210	MX		false			false		
701-2484197-4316222		2026-03-11T15:59:30+00:00	2026-03-11T16:29:05+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Standard	Zep Commercial ZUWLFF128 Wet Look Floor Polish, 1 gal Bottle	FloorCleaner1024-3938	B0057PFLMA	Unshipped	1	MXN	1347.19	185.82							TAMAZULA DE GORDIANO	JALISCO	49660	MX		false			false		
701-1652857-7329817		2026-03-11T15:59:11+00:00	2026-03-11T16:28:14+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	ACT Alcohol Free Anticavity Fluoride Rinse, Mint - 18 oz	KWS080425B-B0012DX2VS	B0012DX2VS	Unshipped	1	MXN	355.5	49.03							APASEO EL ALTO	GUANAJUATO	38503	MX		false			false		
701-7430976-3699400		2026-03-11T15:52:02+00:00	2026-03-11T16:22:21+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Antifungal Tea Tree Oil Body Wash â€" HUGE 16 OZ â€" 100% Pure & Natural - Extra Strength Professional Grade - Helps Soothe Toenail Fungus, Athlete Foot, Body Itch, Jock Itch & Eczema	KWS080425B-B06XN6CZ4P	B06XN6CZ4P	Unshipped	1	MXN	739.98	102.07							MAZATLAN	SINALOA	82040	MX		false			false		
701-7430976-3699400		2026-03-11T15:52:02+00:00	2026-03-11T16:22:21+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Dermaharmony- Limpiador líquido (sin jabón) con 2% de piritionato de zinc (ZnP) (botella de 4 onzas líquidas)	KWS080425-B09ZYVG7SV	B09ZYVG7SV	Unshipped	1	MXN	717.55	98.97							MAZATLAN	SINALOA	82040	MX		false			false		
701-7052498-0017802		2026-03-11T15:48:37+00:00	2026-03-11T15:53:12+00:00	Cancelled	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	RECAMIER PROFESSIONAL SALON IN + Pro Keratin Ultra Force Hair Shampoo, Acondicionador y Suero Paquete Kit de 3 Piezas	071025-B09Z2JFJWK	B09Z2JFJWK		0										HUIXQUILUCAN DE DEGOLLADO	MEXICO	52763	MX		false			false		
702-7039074-7277026		2026-03-11T15:34:21+00:00	2026-03-11T16:03:16+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	McCormick Culinary Azúcar de canela, 30 onzas	nagasaki-04598	B0039OOL86	Unshipped	1	MXN	730.61								PUERTO VALLARTA	JALISCO	48310	MX		false			false		
701-3414725-4280218		2026-03-11T15:22:57+00:00	2026-03-11T15:53:24+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Mood Mingle Gomitas De Monohidrato De Creatina 5 G Para Hombres Y Mujeres - Suplemento Masticable Sin Azúcar - Fórmula Mejorada Con L-Taurina, Betaína Anhidra, Alfa-Gpc, Bcaa 2:1:1 1 Paquete	SKU-B0D5KQF2VD	B0D5KQF2VD	Unshipped	1	MXN	1164.39	160.61							SAN JUAN DEL RIO	QUERETARO	76815	MX		false			false		
701-2509026-3285060		2026-03-11T15:02:21+00:00	2026-03-11T15:32:41+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Té negro de hojas sueltas Darjeeling orgánico premium (hace 112 tazas), té de primer segundo descarga 2017 con potentes antioxidantes, perfecto para té helado, kombucha y té caliente, empaquetado en fuente, 8 onzas 8 oz	6H-E4NT-O9BU	B0761RCJKQ	Unshipped	1	MXN	670.39								TEPOZTLAN	MORELOS	62524	MX		false			false		
701-1826671-4256244		2026-03-11T15:01:49+00:00	2026-03-11T15:32:28+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Bissell 1052A Febreze Spring & Renewal Formula, Limpiador de Limpieza Profunda y refrescante, 1.77 L	FloorCleaner1024-2533	B00DBTP02A	Unshipped	1	MXN	871.39	120.19							TLAJOMULCO DE ZUNIGA	JALISCO	45645	MX		false			false		
701-3344020-8599454		2026-03-11T14:57:52+00:00	2026-03-11T15:27:59+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Icelandic Glacial Natural Spring Water, 500 Milliliter, 24 Count	bottled-beverages-1282	B0083TTBWS	Unshipped	1	MXN	1819.73								MERIDA	YUCATAN	97305	MX		false			false		
702-6837718-2051467		2026-03-11T14:49:13+00:00	2026-03-11T15:19:29+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Hellmann's Vegan Squeeze 12 oz, paquete de 3	feb2023-41205	B08QG24L5V	Unshipped	1	MXN	604.59								MERIDA	YUCATAN	97314	MX		false			false		
702-5681867-9288200		2026-03-11T14:45:21+00:00	2026-03-11T15:15:29+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Taylors of Harrogate, Tarde Darjeeling.	MR-4IMZ-WNZE	B0007QMT7O	Unshipped	1	MXN	413.26								PROGRESO	YUCATAN	97336	MX		false			false		
