amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended	buyer-identification-number	buyer-identification-type 
702-3929317-6077000		2026-01-22T15:59:07+00:00	2026-01-22T16:00:16+00:00	Cancelled	Merchant	Amazon.com.mx	WebsiteOrderChannel		Standard	Nestle Milo mezcla de bebidas de malta de chocolate Jumbo 3.3 libras lata (1.5 kg)	feb2023-07760	B00886MIBW		0										CULIACAN ROSALES	SINALOA	80230	MX		false			false		
702-0073392-6885861		2026-01-22T15:52:45+00:00	2026-01-22T15:55:07+00:00	Cancelled	Merchant	Amazon.com.mx	WebsiteOrderChannel		Standard	Nestle Milo mezcla de bebidas de malta de chocolate Jumbo 3.3 libras lata (1.5 kg)	feb2023-07760	B00886MIBW		0										CULIACAN ROSALES	SINALOA	80230	MX		false			false		
701-8275379-2597059		2026-01-22T15:51:46+00:00	2026-01-22T15:52:47+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Fazer Barra de chocolate 7.05 onzas (200 g)	IS14-20263	B00F3W6EFA	Unshipped	1	MXN	1987.2								PLAYA DEL CARMEN	QUINTANA ROO	77710	MX		false			false		
702-8614379-9857023		2026-01-22T15:44:58+00:00	2026-01-22T15:45:16+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Native Vanilla Polvo - Premium Gourmet 100% Puro Polvo De Vainilla Molida - Para Chefs Y Horneado Casero, Helado, Café (1Oz)	SKU-JJ-B096Q1BN8T	B096Q1BN8T	Unshipped	1	MXN	565.94								BENITO JUAREZ	QUINTANA ROO	77560	MX		false			false		
701-4712815-5352211		2026-01-22T15:43:14+00:00	2026-01-22T15:44:15+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Kryolan- TV Paint Stick - Barra de maquillaje mate marfil - Base de maquillaje - Maquillaje para televisión, teatro, escenario, actuación	KWS080425-B004LS6NS0	B004LS6NS0	Unshipped	1	MXN	1506.79	207.83							MERIDA	YUCATAN	97130	MX		false			false		
702-4079766-6065064		2026-01-22T15:41:16+00:00	2026-01-22T15:41:29+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Standard	Celestial Seasonings Té de hierbas, jengibre de arce Vermont, sin cafeína, 20 unidades (paquete de 6)	pasado-0388	B071F77SRJ	Unshipped	1	MXN	1061.08	146.36							CIUDAD DE MEXICO	CIUDAD DE MEXICO	14420	MX		false			false		
701-8923989-5639420		2026-01-22T15:40:19+00:00	2026-01-22T15:40:32+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Cover FX- Corrector de color rojo Correct Stick Concealer Flame: Neutraliza la oscuridad (todos los tonos de piel) Ilumina	KWS080425-B0CQ2B7GKH	B0CQ2B7GKH	Unshipped	1	MXN	1094.67	150.99							CIUDAD GUZMAN	JALISCO	49090	MX		false			false		
702-0604212-4261801		2026-01-22T15:35:14+00:00	2026-01-22T15:36:11+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Collazen Care Zen Care Miracle Treatment Premium + Silk Sericin 10.82 oz by ZEN CARE	IS12-08753	B006IFV1O0	Unshipped	1	MXN	925.88	127.71							SAN JUAN DEL RIO	QUERETARO	76803	MX		false			false		
702-9332966-6172228		2026-01-22T15:35:01+00:00	2026-01-22T15:35:15+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Super Poli-Grip - Power Max Crema Adhesiva para Dentaduras 2.2 oz - Fijación Fuerte y Sellado Preciso - Sin Sabor - Hecho en EE.UU.	IS14-18291	B09RFHRSD8	Unshipped	1	MXN	883.81	121.9							SAN PEDRO GARZA GARCIA	NUEVO LEON	66268	MX		false			false		
701-9781445-7819426		2026-01-22T15:31:37+00:00	2026-01-22T16:00:47+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Standard	La Estepena Polvoron tradicional 650 gramos (1.43 libras)	IS3-2828	B0063RMAW0	Unshipped	1	MXN	1142.64								LEON DE LOS ALDAMA	GUANAJUATO	37138	MX		false			false		
702-1216832-5501834		2026-01-22T15:29:41+00:00	2026-01-22T15:59:50+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Quaker Rice Crisps, sin gluten, mezcla de 3 sabores de variedad dulce, una sola porción, 25 oz, paquete de 30	altus_0726	B079RCWJZS	Unshipped	1	MXN	811.39								CIUDAD ADOLFO LOPEZ MATEOS	MEXICO	52930	MX		false			false		
701-3428947-1096211		2026-01-22T15:23:21+00:00	2026-01-22T15:53:43+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Elmhurst Barista - Almendras con leche - 32 oz - Sólo 5 ingredientes, sin encías añadidas o emulsionantes - Leche de almendra	feb2023-42955	B07H8SSRX4	Unshipped	1	MXN	1870.39	257.98							MONTERREY	NUEVO LEON	64989	MX		false			false		
702-1832916-1160222		2026-01-22T15:17:54+00:00	2026-01-22T15:46:59+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Weleda Birch Cellulite Oil, 3.4 Ounce	SKU-B000NRVG26	B000NRVG26	Unshipped	1	MXN	821.39	113.3							CIUDAD DE MÉXICO	DISTRITO FEDERAL	11560	MX		false			false		
701-7029784-9557010		2026-01-22T15:17:43+00:00	2026-01-22T15:48:06+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Osem Mini Croutons, Original Mini Mandel, 14.1 onzas	nagasaki-10641	B07CX8T6S3	Unshipped	1	MXN	1545.42								BENITO JUAREZ	QUINTANA ROO	77560	MX		false			false		
701-7738941-6478645		2026-01-22T15:03:12+00:00	2026-01-22T15:33:04+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Standard	No7 Lift & Luminate Triple Action Day Cream SPF30 50ml	may-106993	B079DX6L83	Unshipped	1	MXN	1109.43	153.02							MONTERREY	NUEVO LEON	64860	MX		false			false		
702-7403749-4727430		2026-01-22T14:57:39+00:00	2026-01-22T15:05:13+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	McCafe Premium Roast Coffee K Cups 84 Count Smooth and Balanced	NY-MS75-ZWI3	B00TY15GO6	Unshipped	1	MXN	1341.39								ZIHUATANEJO	GUERRERO	40897	MX		true			false		
702-7403749-4727430		2026-01-22T14:57:39+00:00	2026-01-22T15:05:13+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Cap'N Crunch Cereal	feb2023-00410	B079Y5JYHN	Unshipped	1	MXN	774.81								ZIHUATANEJO	GUERRERO	40897	MX		true			false		
702-0366272-0335472		2026-01-22T14:56:19+00:00	2026-01-22T15:26:45+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Agrumato Lemon Extra Virgin Olive Oil, 200 mL	080425-B0007S70SK	B0007S70SK	Unshipped	4	MXN	4830.68								CABO SAN LUCAS	BAJA CALIFORNIA SUR	23473	MX		false			false		
701-4285832-4711456		2026-01-22T14:40:11+00:00	2026-01-22T15:10:33+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Standard	Hoosier Hill Farm Mezcla Para Salsa Alfredo, 12Oz (Paquete De 1)	SKU-JJ-B0BP3Z16B8	B0BP3Z16B8	Unshipped	3	MXN	1813.53								MEXICALI	BAJA CALIFORNIA	21226	MX		false			false		
701-5760082-1825015		2026-01-22T14:39:43+00:00	2026-01-22T15:10:07+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Standard	Hoosier Hill Farm Mezcla Para Salsa Alfredo, 12Oz (Paquete De 1)	SKU-JJ-B0BP3Z16B8	B0BP3Z16B8	Unshipped	1	MXN	604.51								MEXICALI	BAJA CALIFORNIA	21226	MX		false			false		
702-8104281-1939450		2026-01-22T14:34:59+00:00	2026-01-22T15:14:29+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Twinings of London Pure Peppermint Herbal Tea Bags, 20 Count	pasado-0050	B009L6Q2YW	Unshipped	1	MXN	301.39								SAN ANDRES CHOLULA	PUEBLA	72830	MX		false			false		
702-8104281-1939450		2026-01-22T14:34:59+00:00	2026-01-22T15:14:29+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Twinings of London Earl - Bolsas de té, color gris y negro	AE-KW18-QBZS	B009UQXD90	Unshipped	1	MXN	588.9								SAN ANDRES CHOLULA	PUEBLA	72830	MX		false			false		
701-4976472-5758627		2026-01-22T14:32:45+00:00	2026-01-22T15:02:20+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Vacmaster - Aspiradora VK609PFR 0201, 23 litros, 5.5 HP máximo, 3 en 1 húmedo/seco/tapicería, champú, aspiradora	080425-B09Z2QS25P	B09Z2QS25P	Unshipped	1	MXN	5163.63	712.22							GUADALUPE	ZACATECAS	98619	MX		false			false		
702-2442341-0936257		2026-01-22T14:30:14+00:00	2026-01-22T15:00:33+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Taylor de Harrogate Yorkshire bolsas de té 240 por paquete	black-tea-759	B007NIC6FE	Unshipped	2	MXN	1387.92								LA PAZ	BAJA CALIFORNIA SUR	23330	MX		false			false		
701-3362665-7724255		2026-01-22T14:25:14+00:00	2026-01-22T14:55:02+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	Paquete surtido de tartas pop, sabores de frutas esmeriladas: fresa, arándano, cereza y frambuesa. Paquete de cajas de 4-8 unidades, 1 de cada sabor. Paquete de gran cuidado o regalo	SKU-JJ-B00QJ86WE0	B00QJ86WE0	Unshipped	1	MXN	1550.61								TODOS SANTOS	BAJA CALIFORNIA SUR	23300	MX		false			false		
701-4075578-9384229		2026-01-22T14:24:19+00:00	2026-01-22T14:53:29+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	E-FA Premium Grade Black Tapioca Pearls (6.6 LB) [Bubble Tea]	MPTX-07271021-079	B000CR06BO	Unshipped	1	MXN	1149.38								MONTERREY	NUEVO LEON	64630	MX		false			false		
701-5125165-9963437		2026-01-22T14:22:29+00:00	2026-01-22T14:33:15+00:00	Cancelled	Merchant	Amazon.com.mx	WebsiteOrderChannel		Expedited	DoMatcha - Té verde ceremonial orgánico Matcha en polvo, fuente natural de antioxidantes, cafeína y L-teanina, promueve el enfoque y la relajación, Kosher, 25 porciones (28 g)	nagasaki-01854	B0019FOZC4		0										MONTERREY	NUEVO LEON	64960	MX		false			false		
702-1738256-3024210		2026-01-22T14:20:23+00:00	2026-01-22T14:48:42+00:00	Pending	Merchant	Amazon.com.mx	WebsiteOrderChannel		Standard	ESSIE UÑAS LACA VAO 027 WATERMELON	IS14-00869	B009AQWGXE	Unshipped	1	MXN	605.33	83.49							CIUDAD DE MEXICO	CIUDAD DE MEXICO	09780	MX		false			false		
